action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
749,0,251,9,0.053090000000001906,53.09000000000191,timestep_limit_exceeded,1000
51,5,24,15,1.8544999999999994,148.35999999999996,hit_wall,80
59,1,27,10,0.8418390804597702,73.24000000000001,hit_own_body,87
65,0,28,11,0.9267741935483866,86.18999999999996,hit_own_body,93
748,0,252,9,0.05309000000000184,53.09000000000184,timestep_limit_exceeded,1000
28,2,17,14,2.801702127659575,131.68000000000004,hit_own_body,47
749,0,251,3,0.0020300000000002126,2.0300000000002125,timestep_limit_exceeded,1000
84,9,42,22,2.184296296296298,294.8800000000002,hit_own_body,135
750,0,250,2,-0.002979999999999879,-2.979999999999879,timestep_limit_exceeded,1000
49,1,23,10,1.0052054794520549,73.38000000000001,hit_own_body,73
42,3,18,10,1.1663492063492067,73.48000000000002,hit_own_body,63
52,7,16,10,0.9781333333333333,73.36,hit_own_body,75
36,2,19,8,0.8863157894736848,50.52000000000004,hit_own_body,57
54,0,27,12,1.2385185185185184,100.31999999999998,hit_own_body,81
45,0,23,11,1.2711764705882356,86.44000000000003,hit_own_body,68
67,2,32,13,1.1399009900990085,115.12999999999985,hit_own_body,101
74,4,35,16,1.469380530973452,166.04000000000008,hit_own_body,113
750,0,250,1,-0.006989999999999876,-6.989999999999876,timestep_limit_exceeded,1000
61,0,28,11,0.9688764044943817,86.22999999999998,hit_own_body,89
70,2,33,15,1.4105714285714281,148.10999999999996,hit_own_body,105
749,0,251,3,0.002030000000000211,2.0300000000002107,timestep_limit_exceeded,1000
59,1,29,12,1.1262921348314596,100.23999999999991,hit_own_body,89
748,1,251,7,0.032070000000001916,32.07000000000192,timestep_limit_exceeded,1000
27,0,14,8,1.2360975609756093,50.679999999999986,hit_own_body,41
35,2,20,10,1.2901754385964914,73.54,hit_own_body,57
61,0,26,12,1.1524137931034473,100.2599999999999,hit_own_body,87
33,0,16,9,1.2573469387755103,61.61,hit_own_body,49
67,10,28,17,1.763142857142856,185.12999999999988,hit_own_body,105
41,0,18,10,1.2461016949152541,73.52,hit_own_body,59
43,0,18,10,1.204918032786885,73.49999999999999,hit_own_body,61
749,5,246,4,0.008039999999999905,8.039999999999905,timestep_limit_exceeded,1000
55,2,28,16,1.9567058823529417,166.32000000000005,hit_own_body,85
50,1,24,15,1.9787999999999997,148.40999999999997,hit_own_body,75
73,5,29,12,0.9351401869158876,100.05999999999997,hit_own_body,107
746,1,253,7,0.03207000000000189,32.07000000000189,timestep_limit_exceeded,1000
58,0,27,12,1.1797647058823526,100.27999999999997,hit_own_body,85
746,2,252,6,0.023059999999998766,23.059999999998766,timestep_limit_exceeded,1000
749,0,251,5,0.015049999999998669,15.049999999998668,timestep_limit_exceeded,1000
64,5,25,13,1.225531914893617,115.2,hit_own_body,94
50,0,23,10,1.0052054794520546,73.38,hit_own_body,73
749,0,251,3,0.002030000000000211,2.0300000000002107,timestep_limit_exceeded,1000
48,1,22,11,1.2170422535211272,86.41000000000003,hit_own_body,71
750,0,250,3,0.002030000000000209,2.030000000000209,timestep_limit_exceeded,1000
46,0,21,8,0.752537313432836,50.420000000000016,hit_own_body,67
748,237,15,9,0.05309000000000187,53.09000000000187,timestep_limit_exceeded,1000
61,1,29,13,1.2662637362637366,115.23000000000003,hit_own_body,91
69,0,31,10,0.7311000000000001,73.11000000000001,hit_own_body,100
750,0,250,2,-0.0029799999999998773,-2.9799999999998774,timestep_limit_exceeded,1000
43,1,20,13,1.8046874999999998,115.49999999999999,hit_own_body,64
48,0,22,8,0.7198571428571433,50.39000000000003,hit_own_body,70
66,5,32,15,1.4381553398058258,148.13000000000005,hit_own_body,103
749,0,251,5,0.015049999999998662,15.049999999998661,timestep_limit_exceeded,1000
52,1,24,13,1.498311688311688,115.36999999999998,hit_own_body,77
43,1,21,10,1.1301538461538463,73.46000000000001,hit_own_body,65
67,1,31,13,1.163131313131313,115.14999999999999,hit_own_body,99
748,0,252,6,0.023059999999998745,23.059999999998745,timestep_limit_exceeded,1000
64,8,20,10,0.7955434782608697,73.19000000000001,hit_own_body,92
28,4,12,6,0.7188636363636364,31.630000000000003,hit_wall,44
749,1,250,4,0.008039999999999898,8.039999999999898,timestep_limit_exceeded,1000
66,2,31,13,1.1631313131313117,115.14999999999985,hit_own_body,99
76,4,29,12,0.9177981651376147,100.04,hit_own_body,109
52,3,20,13,1.5385333333333338,115.39000000000003,hit_own_body,75
64,3,32,15,1.4966666666666666,148.17,hit_own_body,99
60,0,27,13,1.3249425287356318,115.26999999999997,hit_own_body,87
15,0,13,7,1.4571428571428573,40.800000000000004,hit_own_body,28
748,0,252,7,0.03207000000000189,32.07000000000189,timestep_limit_exceeded,1000
38,2,19,10,1.2461016949152541,73.52,hit_own_body,59
750,0,250,5,0.015049999999998655,15.049999999998654,timestep_limit_exceeded,1000
36,3,16,9,1.1190909090909091,61.55,hit_own_body,55
748,1,251,4,0.008039999999999901,8.039999999999901,timestep_limit_exceeded,1000
44,1,24,12,1.455652173913044,100.44000000000003,hit_own_body,69
36,3,20,12,1.7040677966101685,100.53999999999994,hit_own_body,59
28,0,17,8,1.1253333333333335,50.64000000000001,hit_own_body,45
71,4,28,11,0.835825242718446,86.08999999999995,hit_own_body,103
55,1,27,14,1.5821686746987944,131.31999999999994,hit_own_body,83
61,5,25,9,0.672417582417583,61.19000000000005,hit_own_body,91
38,1,19,11,1.4920689655172403,86.53999999999994,hit_own_body,58
47,2,24,16,2.28,166.44,hit_own_body,73
37,12,5,11,1.6033333333333328,86.57999999999997,hit_own_body,54
33,4,14,10,1.443137254901961,73.60000000000001,hit_own_body,51
29,0,14,6,0.7358139534883718,31.639999999999986,hit_own_body,43
748,1,251,5,0.015049999999998644,15.049999999998644,timestep_limit_exceeded,1000
34,3,19,10,1.3133928571428577,73.55000000000003,hit_own_body,56
67,5,25,11,0.8881443298969074,86.15000000000002,hit_own_body,97
40,0,19,11,1.4666101694915252,86.52999999999999,hit_own_body,59
35,0,18,8,0.9539622641509434,50.56,hit_own_body,53
50,9,17,12,1.320657894736842,100.36999999999999,hit_own_body,76
33,7,13,12,1.8981132075471692,100.59999999999997,hit_own_body,53
46,0,21,10,1.0961194029850747,73.44000000000001,hit_own_body,67
746,1,253,11,0.07810999999999524,78.10999999999524,timestep_limit_exceeded,1000
45,0,20,8,0.7759999999999998,50.43999999999999,hit_own_body,65
52,0,25,9,0.7964935064935068,61.33000000000003,hit_own_body,77
76,1,36,12,0.8849557522123889,99.99999999999994,hit_own_body,113
72,0,32,11,0.827692307692307,86.07999999999993,hit_own_body,104
750,0,250,1,-0.006989999999999878,-6.9899999999998785,timestep_limit_exceeded,1000
53,10,18,18,2.5355555555555553,205.38,hit_own_body,81
47,9,13,11,1.2526086956521738,86.42999999999999,hit_own_body,69
53,0,28,11,1.0655555555555563,86.31000000000006,hit_own_body,81
54,13,18,17,2.180352941176473,185.33000000000018,hit_own_body,85
